음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
상추겉절이,200.0,130.61999999999998,17.988,1.998,6.246,5.648000000000001,136.84,146.78000000000003,952.32,850.5399999999998,-,3.272,1.1780000000000002,5.36,0
쑥갓나물무침,150.0,94.85699999999999,8.784,0.0,6.5055,5.485499999999999,69.17249999999999,87.66600000000001,700.1205,453.7484999999999,-,2.8695000000000004,0.44249999999999995,0.0,0
청포묵무침,250.0,157.60999999999999,19.675,13.7375,4.225,2.955,67.0375,99.4375,756.74,334.02500000000003,-,1.9375,0.7424999999999999,2.3499999999999996,0
해파리냉채,150.0,87.285,13.827,7.4925,1.5450000000000004,6.631500000000001,69.36,220.36499999999998,490.12799999999993,360.6,-,5.346,0.9840000000000001,17.625,0
가지나물,50.0,21.873,3.0310000000000006,0.0,1.2719999999999998,0.7320000000000001,11.318000000000001,20.291,159.1745,125.28699999999999,-,0.33499999999999996,0.14350000000000002,0.0,0
고사리나물,50.0,43.508,3.799,0.0,3.2625,1.9655,20.348,32.94,251.53,302.39,-,1.8109999999999997,0.9374999999999999,0.0,0
도라지나물,50.0,54.675,5.335,0.0,3.819,0.6695000000000001,15.100000000000001,24.055,256.66749999999996,104.96749999999999,-,0.9145,0.08,0.0,0
무나물,50.0,34.575,3.042,0.0,2.563,0.5755,18.045,16.53,293.5195,143.4275,-,0.464,0.203,0.0,0
미나리나물,50.0,28.3435,2.5595000000000003,0.0,2.138,0.9899999999999999,18.45,28.824500000000004,165.524,239.042,-,1.1564999999999999,0.19350000000000003,0.0,0
숙주나물,50.0,19.509,1.559,0.0,1.347,1.312,10.110000000000001,20.866,186.733,85.4735,-,0.37650000000000006,0.18950000000000003,0.0,0
시금치나물,50.0,37.511,3.815,0.0,2.3685,2.069,37.585,24.549,217.2565,311.26149999999996,-,1.765,0.40349999999999997,0.0,0
취나물,50.0,72.944,3.4555,0.0,6.714499999999999,1.5965,58.384,30.072499999999998,288.6495,222.9795,-,1.091,0.0295,0.0,0
콩나물,50.0,24.129,1.1449999999999998,0.0,1.9789999999999999,1.6395,12.780000000000001,21.6145,203.4965,78.36399999999999,-,0.4315,0.2285,0.0,0
고구마줄기나물,50.0,30.439,2.9685,0.0,2.2385,0.6285000000000001,28.194000000000003,19.651500000000002,255.7095,73.7735,-,0.9104999999999999,0.17950000000000002,0.0,0
우거지나물무침,150.0,126.114,10.282500000000002,1.4985,8.661000000000001,5.076,512.9985,108.6885,774.5475,94.1145,-,21.903,0.4455,0.0,0
골뱅이무침,100.0,107.348,15.558,6.0600000000000005,2.298,7.905,40.48,89.79,515.92,346.35,4.94,1.441,0.875,45.56,0
김무침,30.0,81.0114,12.188099999999999,6.932099999999999,4.1247,4.7094,45.435,95.124,498.6338999999998,413.5659,-,2.1609,0.5748,0.0,0
미역초무침,50.0,24.936,5.698500000000001,3.996,0.5399999999999999,1.0715000000000001,47.268,28.82,285.8,236.752,-,0.403,0.118,0.0,0
북어채무침,150.0,332.052,31.332,18.02458,5.802999999999998,37.365999999999985,245.105,744.8420000000001,1048.5300000000004,782.6419999999998,-,2.576,0.8861999999999999,108.57,0
회무침,300.0,311.58720000000005,42.879200000000004,26.412000000000003,4.2562999999999995,27.177700000000005,200.09570000000002,314.5105,1253.2525,955.8385000000001,-,4.377200000000001,1.6802000000000004,61.38,0
쥐치채,20.0,53.387,10.177200000000001,6.6036,0.19800000000000004,2.7684,14.289,31.711000000000006,289.4502,78.51100000000001,-,0.29900000000000004,0.1222,5.928000000000001,0
파래무침,30.0,31.585499999999996,5.429100000000001,0.8990999999999999,0.6897,2.3396999999999997,64.5375,19.039500000000004,252.04500000000002,74.49299999999998,-,1.7079,0.147,0.0,0
홍어무침,200.0,193.13799999999998,24.898,9.434,2.274,21.640000000000004,337.432,320.55,817.424,842.6600000000001,-,3.4739999999999993,1.26,79.2,0
골뱅이국수무침,230.0,256.41630000000004,39.6333,0.0,7.014600000000001,10.524600000000003,97.57529999999998,151.3782,911.7441000000001,492.57719999999995,-,2.8430999999999997,1.2285000000000001,39.9789,0
오징어무침,200.0,249.525,13.5522,0.0,4.1904,38.66760000000001,78.57900000000001,556.6410000000001,682.389,660.1410000000001,-,1.8594,3.4038,430.92,0
잡채,150.0,198.82349999999997,37.47449999999999,2.988,4.7010000000000005,2.5935,50.13300000000001,53.9415,664.7505,294.12000000000006,-,2.9069999999999996,0.4830000000000001,14.25,0
탕평채,100.0,101.194,10.196,6.993,3.113,3.529,38.802,89.96,247.419,269.971,6.26,1.234,0.821,4.95,0
갓김치,50.0,27.635500000000004,5.211500000000001,0.4235,0.7015,1.9825,83.18849999999999,30.591500000000007,447.77400000000006,222.8085,-,1.3185,0.4815,3.507,0
고들빼기,50.0,55.3875,11.994,0.0,0.5640000000000001,2.206,37.381499999999996,44.5875,733.749,177.8415,-,1.8045000000000002,0.373,0.545,0
깍두기,50.0,17.988000000000003,3.9449999999999994,0.05,0.22699999999999998,0.9974999999999998,19.159,15.328000000000001,338.876,148.04599999999996,-,0.5565,0.14400000000000002,4.065,0
깻잎김치,150.0,124.49250000000002,23.2665,2.988,3.1605,6.096,131.9925,93.45,1907.6415000000004,752.0925000000001,-,3.0090000000000003,1.269,29.661,0
나박김치,100.0,14.746,2.255,0.01,0.42,0.63,12.544,11.618,509.472,77.831,0.026,0.357,0.077,0.0,0
동치미,400.0,57.69199999999999,14.26,0.0,0.64,2.696,43.01999999999999,47.367999999999995,2313.584,438.216,-,1.3880000000000001,0.29200000000000004,0.0,0
배추겉절이,50.0,21.239,4.484499999999999,0.996,0.503,0.9405000000000001,21.8445,23.138,325.406,182.35949999999997,-,0.47600000000000003,0.31,1.34,0
배추김치,50.0,18.4315,4.154999999999999,0.498,0.2975,1.145,35.845,24.238500000000002,309.5255,207.13549999999998,-,0.6340000000000001,0.32200000000000006,3.4065000000000003,0
